latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
45.4427251,-76.0482961,K0A 1L0,1,Lots/Acreage,,,,,,,1127.76,1447.8,"2,500,000"
45.1465414,-75.9415098,K0A 1B0,1,Lots/Acreage,,,,,,,1402.08,609.6,"495,000"
45.3170095,-76.1408783,K0A 1L0,1,Lots/Acreage,,,,,,,638.86,470.92,"365,000"
46.1792937,-74.727161,K4C 1H9,7,Commercial,,2020,,,0,,545.59,411.48,"799,000"
45.3147852,-75.563076,K1G 3N4,1,Lots/Acreage,,,,,,,983.6,402.17,"9,830,500"
45.4499247,-76.0345594,K0A 1T0,1,Lots/Acreage,,,,,,,617.52,356.62,"89,000"
45.2200786,-75.496041,K0A 2P0,1,Lots/Acreage,,,,,,,1005.84,335.28,"2,200,000"
45.2200786,-75.496041,K0A 2P0,1,Lots/Acreage,,,,,,,1005.84,335.28,"2,200,000"
45.429886,-76.278184,K7S 3G7,1,Lots/Acreage,,,,,,,414.38,306.43,"499,900"
45.3697727,-75.9943182,K2K 1X7,1,Lots/Acreage,,,,,,,657.95,305.4,"900,000"
45.3698533,-75.4421163,K1H 7Z2,5,Residential,Detached,1946,3,0,10,0,598.72,265.61,"1,100,000"
45.3698533,-75.4421163,K1H 7Z2,5,Residential,Detached,1946,3,0,10,0,598.72,265.61,"1,100,000"
45.4318163,-75.961197,K0A 1T0,3,Residential,Detached,1984,6,4,8,2,283.2,265.05,"960,000"
45.1744048,-75.6393481,K4M 1B3,1,Residential,Detached,2012,4,6,10,3,122.68,254.57,"3,850,000"
48.1203448,-77.9714808,K4C 1E7,1,Lots/Acreage,,,,,,,87.78,243.84,"1,280,000"
45.3841854,-75.3550536,K4B 0J3,1,Residential,Detached,2008,5,3,12,3,716.89,243.84,"1,899,999"
45.3452474,-75.9691718,K2K 1X7,1,Lots/Acreage,,,,,,,318.2,226.76,"389,800"
45.229369,-75.8337284,K0A 2Z0,1,Lots/Acreage,,,,,,,533.58,214.79,"661,200"
45.2380887,-75.8126893,K0A 2Z0,1,Lots/Acreage,,,,,,,1745.71,209.93,"2,530,500"
45.2408969,-75.8322586,K2S 1B8,1,Lots/Acreage,,,,,,,1694.94,209.17,"2,407,500"
45.2558879,-75.8240509,K0A 2Z0,1,Lots/Acreage,,,,,,,556.46,208.12,"649,500"
45.1059274,-75.6510222,K0A 2E0,1,Lots/Acreage,,,,,,,712.01,206.96,"385,000"
45.0987579,-75.641345,K0G 1J0,1,Lots/Acreage,,,,,,,153.67,204.56,"350,000"
45.16861,-75.492543,K0A 2W0,1,Lots/Acreage,,,,,,,249.63,199.42,"239,000"
45.4462583,-76.2198501,K0A 1X0,1,Lots/Acreage,,,,,,,202.73,158.38,"47,000"
45.3046365,-75.5841298,K1X 1G7,7,Commercial,,,,,,,199.57,145.4,"3,852,500"
45.3179067,-76.1867313,K0A 2H0,1,Lots/Acreage,,,,,,,263.96,134.72,"350,000"
45.2310082,-75.8087121,K0A 2Z0,1,Residential,Detached,1988,4,5,20,3,93.2,126.78,"999,900"
45.4822341,-76.0295193,K0A 1T0,1,Lots/Acreage,,,,,,,152.4,115.79,"250,000"
45.1970141,-75.713484,K0A 2E0,1,Lots/Acreage,,,,,,,191.02,112.77,"425,000"
45.2369894,-75.6471046,K4M 1B5,4,Residential,Detached,1989,4,4,6,2,103.89,111.41,"1,200,000"
45.4699356,-76.132288,K0A 3M0,1,Lots/Acreage,,,,,,,109.02,102.64,"110,000"
45.4366095,-76.1128423,K0A 3M0,1,Lots/Acreage,,,,,,,203.05,101.26,"199,900"
45.3641864,-75.8657623,K2H 8B9,3,Residential,Detached,1981,5,5,10,3,105.17,97.77,"2,990,000"
45.2328991,-75.9282797,K2S 0L4,1,Residential,Detached,2008,5,5,20,16,92.66,86.87,"2,290,000"
45.2434162,-75.6814184,K4M 0A1,4,Residential,Detached,2008,6,4,10,2,97,82.5,"1,588,000"
45.236444,-75.6823605,K4M 1B2,31,Residential,Detached,1985,3,3,20,2,261.41,76.72,"1,625,000"
45.2317684,-75.723652,K2C 3H2,1,Residential,Detached,,5,3,30,9,179.22,76.2,"1,550,000"
45.4615217,-76.0224845,K0A 1T0,1,Lots/Acreage,,,,,,,638.86,76.08,"285,000"
45.5034211,-75.3705271,K4C 0A5,1,Residential,Detached,2015,6,5,12,5,141.24,75.62,"1,575,000"
45.1329119,-75.9370846,K0A 2Z0,1,Lots/Acreage,,,,,,,113.08,73.5,"249,900"
45.1329119,-75.9370846,K0A 2Z0,1,Lots/Acreage,,,,,,,113.08,73.5,"249,900"
45.5059048,-75.4264354,K4C 1E2,1,Residential,Detached,1990,5,4,10,3,134.68,73.44,"1,000,000"
45.4311823,-75.5186042,K4B 1H9,1,Lots/Acreage,,,,,,,61.49,69.91,"1,300,000"
45.3360635,-75.9882395,K0A 1L0,1,Residential,Detached,2013,5,4,10,5,120.39,69.36,"1,499,900"
45.448462,-75.6085514,K1J 6L4,41,Lots/Acreage,,,,,,,64.31,67.36,"769,000"
45.5067675,-75.3814822,K4C 1A9,1,Lots/Acreage,,,,,,,110.2,66.69,"375,000"
45.5177455,-75.3971962,K4C 1G3,6,Residential,Detached,1847,8,4,12,4,91.84,65.38,"1,295,000"
45.3484217,-75.9444093,K2K 1X7,62,Commercial,,,,,,,63.7,64.92,"2,950,000"
45.2761031,-75.7894121,K2R 1A1,7,Residential,Detached,1984,5,3,10,2,73.15,64.62,"1,679,000"
45.3520246,-75.9964245,K2K 1X7,1,Lots/Acreage,,,,,,,127.11,63.61,"249,900"
45.4496212,-75.6695921,K1M 0N4,34,Residential,Detached,1940,5,6,8,2,58.37,60.96,"1,750,000"
45.3443433,-75.9927434,K0A 1L0,1,Residential,Detached,2008,4,5,10,3,189.04,60.09,"2,495,000"
45.3633191,-75.6767831,K1V 8K6,13,Residential,Detached,1954,3,2,2,2,87.29,55.69,"1,499,900"
45.363152,-75.676287,K1V 8K6,13,Lots/Acreage,,,,,,,87.29,55.69,"1,499,900"
45.3975208,-75.3586924,K4B 0E9,1,Residential,Detached,1989,5,3,10,3,68.13,55,"744,900"
45.5067675,-75.3814822,K4C 1A9,1,Lots/Acreage,,,,,,,133.97,54.81,"375,000"
45.3764001,-75.9583773,K2K 1X7,2,Residential,Detached,1880,3,2,10,0,66.9,50.6,"439,900"
45.28125,-75.6276176,K1X 1H3,1,Residential,Detached,2002,5,3,6,2,30.18,48.77,"569,000"
45.5112108,-75.4082312,K4B 1B7,2,Residential,Detached,1994,5,2,7,1,36.88,46.33,"649,999"
45.4215296,-75.6971931,K0A 1B0,1,Residential,Detached,2020,3,2,6,3,105.51,46,"735,900"
45.4724589,-75.9860642,K0A 1T0,2,Residential,Detached,1979,5,5,10,3,95.1,45.77,"1,489,000"
45.3369457,-75.6057892,K1T 3W9,8,Residential,Detached,1960,3,2,6,2,46.94,45.72,"785,000"
45.3369457,-75.6057892,K1T 3W9,8,Residential,Detached,1960,3,2,6,2,46.94,45.72,"785,000"
45.2101514,-75.5971869,K4P 1K3,1,Residential,Detached,1987,3,2,10,2,89.65,45.72,"499,900"
45.5031093,-75.4238455,K4C 1E2,1,Lots/Acreage,,,,,,,117.2,45.58,"365,000"
45.4215296,-75.6971931,K0A 1B0,1,Residential,Detached,2020,4,3,6,3,122.04,45.5,"838,900"
45.5051738,-75.3761925,K4C 1A9,1,Residential,Detached,1994,4,4,10,2,257.86,45.35,"750,000"
45.2233633,-75.5985355,K4P 1H2,1,Lots/Acreage,,,,,,,200.83,44.99,"249,000"
45.2743251,-75.764693,K2J 2E9,33,Lots/Acreage,,,,,,,36.58,44.35,"1,299,900"
45.2508315,-75.5888025,K4P 1E5,3,Residential,Detached,1972,5,2,8,3,58.73,43.62,"500,000"
45.4477366,-75.6358165,K1K 0R4,20,Residential,Detached,1986,3,3,12,2,45.6,43.24,"1,590,000"
45.4883965,-76.0498,K0A 1T0,1,Residential,Detached,,3,1,6,0,51.45,43.13,"429,000"
45.0921257,-75.6251171,K0A 1W0,1,Residential,Detached,,3,3,2,2,30.48,42.98,"899,000"
45.3627697,-75.8599995,K2H 8B9,3,Residential,Detached,1960,4,3,5,1,68.58,42.67,"1,199,900"
45.3452559,-75.6994615,K2C 3J7,15,Lots/Acreage,,,,,,,138.38,42.67,"799,900"
45.252876,-75.5879709,K4P 1E4,2,Residential,Detached,1986,4,2,6,1,48.12,42.5,"599,000"
